City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Saskylakh,RU,2021-10-22 17:16:36,71.9167,114.0833,-1.66,99,100,2.62
68,Trairi,BR,2021-10-22 17:15:48,-3.2778,-39.2689,88.54,55,93,14.58
69,Hamilton,US,2021-10-22 17:15:41,39.1834,-84.5333,54.23,90,90,1.99
70,Olinda,BR,2021-10-22 17:16:37,-8.0089,-34.8553,85.73,62,40,8.05
71,Vardo,NO,2021-10-22 17:16:38,70.3705,31.1107,33.78,75,40,19.57
72,Baghdad,IQ,2021-10-22 17:14:34,33.3406,44.4009,71.51,26,0,3.44
73,Thompson,CA,2021-10-22 17:16:38,55.7435,-97.8558,32.16,86,90,6.91
74,Ponta Do Sol,PT,2021-10-22 17:16:39,32.6667,-17.1,73.71,70,88,5.88
75,Port Elizabeth,ZA,2021-10-22 17:16:39,-33.918,25.5701,63.1,72,0,5.75
76,Albany,US,2021-10-22 17:15:07,42.6001,-73.9662,62.1,63,99,1.99
77,Svetlogorsk,BY,2021-10-22 17:16:40,52.6333,29.7333,46.56,57,25,11.52
78,Rincon,US,2021-10-22 17:16:40,32.296,-81.2354,82.9,63,75,1.01
79,Caidian,CN,2021-10-22 17:16:41,30.5833,114.0333,60.94,56,99,4.34
80,Broome,US,2021-10-22 17:16:41,42.2506,-75.833,54.18,74,90,1.99
81,Henties Bay,NA,2021-10-22 17:16:42,-22.116,14.2845,61.86,78,4,8.37
82,Ribeira Grande,PT,2021-10-22 17:16:42,38.5167,-28.7,72.0,73,20,8.05
83,Yago,MX,2021-10-22 17:16:43,21.8333,-105.0667,94.53,65,80,1.34
84,Buala,SB,2021-10-22 17:16:43,-8.145,159.5921,79.65,81,98,6.11
85,Muros,ES,2021-10-22 17:16:43,42.7762,-9.0603,64.09,66,0,13.65
86,Touros,BR,2021-10-22 17:16:44,-5.1989,-35.4608,88.7,62,61,13.13
87,Lagoa,PT,2021-10-22 17:16:44,39.05,-27.9833,68.58,75,86,13.6
88,Manokwari,ID,2021-10-22 17:16:45,-0.8667,134.0833,77.95,80,26,7.7
89,Haifa,IL,2021-10-22 17:14:34,32.8156,34.9892,72.21,73,0,16.35
90,Tyrma,RU,2021-10-22 17:16:46,50.0833,132.1667,22.6,97,22,1.86
91,Yellowknife,CA,2021-10-22 17:15:12,62.456,-114.3525,40.41,77,20,21.85
92,Arraial Do Cabo,BR,2021-10-22 17:12:11,-22.9661,-42.0278,69.53,67,6,8.72
93,Ponta Delgada,PT,2021-10-22 17:16:46,37.7333,-25.6667,72.32,68,40,10.36
94,Lamar,US,2021-10-22 17:16:34,33.6668,-95.5836,75.63,38,1,11.5
95,Richards Bay,ZA,2021-10-22 17:16:47,-28.783,32.0377,74.53,67,75,14.23
96,Luderitz,NA,2021-10-22 17:16:48,-26.6481,15.1594,58.91,81,0,8.37
97,Lima,PE,2021-10-22 17:12:09,-12.0432,-77.0282,65.39,50,20,3.0
98,Maniitsoq,GL,2021-10-22 17:16:48,65.4167,-52.9,31.15,49,0,11.63
99,San Quintin,MX,2021-10-22 17:16:49,30.4833,-115.95,67.87,71,1,10.71
100,Amazar,RU,2021-10-22 17:16:50,53.858,120.875,31.6,81,93,2.95
101,Stabat,ID,2021-10-22 17:16:50,3.761,98.4513,77.2,96,100,3.24
102,Nikolskoye,RU,2021-10-22 17:16:50,59.7035,30.7861,47.88,64,100,18.59
103,Araouane,ML,2021-10-22 17:16:51,18.9048,-3.5265,91.42,15,2,4.85
104,Ancud,CL,2021-10-22 17:16:51,-41.8697,-73.8203,57.42,57,23,11.48
105,Hithadhoo,MV,2021-10-22 17:16:52,-0.6,73.0833,81.37,75,23,7.54
106,Sarkand,KZ,2021-10-22 17:16:52,45.41,79.9186,36.16,79,100,2.73
107,Guangyuan,CN,2021-10-22 17:16:52,32.442,105.823,55.33,90,100,2.98
108,Butaritari,KI,2021-10-22 17:16:53,3.0707,172.7902,81.81,79,26,16.93
109,Quimper,FR,2021-10-22 17:13:33,48.0,-4.1,56.08,66,0,6.91
110,Manado,ID,2021-10-22 17:16:54,1.487,124.8455,77.77,94,40,1.14
111,Korla,CN,2021-10-22 17:16:54,41.7597,86.1469,59.4,22,95,14.72
112,Longyearbyen,SJ,2021-10-22 17:16:55,78.2186,15.6401,19.24,73,75,3.44
113,Berlevag,NO,2021-10-22 17:16:55,70.8578,29.0864,33.75,60,75,20.71
114,Castro,BR,2021-10-22 17:16:55,-24.7911,-50.0119,73.8,41,0,1.01
115,Vadso,NO,2021-10-22 17:16:56,70.0744,29.7487,33.75,80,40,14.97
116,Sabya,SA,2021-10-22 17:16:57,17.1495,42.6254,89.22,61,11,5.66
117,Saint-Francois,FR,2021-10-22 17:16:57,46.4154,3.9054,47.64,75,0,4.61
118,Jalu,LY,2021-10-22 17:16:58,29.0331,21.5482,77.36,31,0,8.32
119,Hasaki,JP,2021-10-22 17:16:58,35.7333,140.8333,50.4,71,100,19.71
120,Airai,TL,2021-10-22 17:16:59,-8.9266,125.4092,62.74,78,86,2.42
121,Talnakh,RU,2021-10-22 17:16:59,69.4865,88.3972,10.99,96,91,4.14
122,Severo-Kurilsk,RU,2021-10-22 17:17:00,50.6789,156.125,37.26,75,54,10.2
123,Coihaique,CL,2021-10-22 17:17:00,-45.5752,-72.0662,54.21,37,75,8.05
124,Debre Sina,ET,2021-10-22 17:17:01,9.85,39.7667,52.09,53,84,4.25
125,Torbay,CA,2021-10-22 17:17:01,47.6666,-52.7314,55.89,65,40,17.27
126,Cidreira,BR,2021-10-22 17:17:02,-30.1811,-50.2056,71.42,63,0,8.99
127,Tarpon Springs,US,2021-10-22 17:17:02,28.1461,-82.7568,88.21,60,1,1.99
128,Esperance,AU,2021-10-22 17:17:02,-33.8667,121.9,49.84,72,52,6.02
129,Presidencia Roque Saenz Pena,AR,2021-10-22 17:17:03,-26.7852,-60.4388,92.23,24,71,9.15
130,Tutoia,BR,2021-10-22 17:17:04,-2.7619,-42.2744,91.38,68,100,10.8
131,Bathsheba,BB,2021-10-22 17:17:04,13.2167,-59.5167,86.61,66,40,26.46
132,Cururupu,BR,2021-10-22 17:17:05,-1.8283,-44.8683,91.33,46,99,7.43
133,Mattawa,US,2021-10-22 17:17:05,46.7379,-119.9028,55.02,92,100,21.0
134,Khandyga,RU,2021-10-22 17:17:06,62.6667,135.6,9.43,99,98,2.73
135,Qaanaaq,GL,2021-10-22 17:17:06,77.484,-69.3632,-1.23,67,0,8.61
136,Yuyao,CN,2021-10-22 17:17:07,30.05,121.1494,59.77,72,100,2.8
137,Gorodovikovsk,RU,2021-10-22 17:17:07,46.0878,41.9335,57.27,49,0,9.33
138,Upernavik,GL,2021-10-22 17:17:08,72.7868,-56.1549,16.92,93,100,11.88
139,Yumen,CN,2021-10-22 17:17:09,40.2833,97.2,43.07,32,3,9.55
140,Kadrina,EE,2021-10-22 17:17:09,59.3347,26.145,41.65,67,100,17.27
141,Osypenko,UA,2021-10-22 17:17:09,46.9136,36.8253,53.83,77,27,8.93
142,Kruisfontein,ZA,2021-10-22 17:17:10,-34.0033,24.7314,60.89,83,36,4.81
143,Mumford,GH,2021-10-22 17:17:10,5.2618,-0.759,79.84,81,83,14.36
144,Homer,US,2021-10-22 17:14:38,59.6425,-151.5483,39.04,87,1,3.44
145,Mount Isa,AU,2021-10-22 17:17:11,-20.7333,139.5,83.97,42,90,12.66
146,Waddan,LY,2021-10-22 17:17:11,29.1614,16.139,82.0,23,100,8.34
147,Panaba,MX,2021-10-22 17:17:12,21.2833,-88.2667,79.74,86,93,4.52
148,Bambanglipuro,ID,2021-10-22 17:17:12,-7.95,110.2833,62.6,89,100,5.48
149,Ostrovnoy,RU,2021-10-22 17:17:13,68.0531,39.5131,34.36,63,100,24.11
150,Chernyshevskiy,RU,2021-10-22 17:17:13,63.0128,112.4714,30.92,88,92,8.7
151,Lethem,GY,2021-10-22 17:17:14,3.3803,-59.7968,86.76,59,99,0.58
152,Dangriga,BZ,2021-10-22 17:17:14,16.9692,-88.2321,78.98,81,100,4.45
153,Provideniya,RU,2021-10-22 17:17:14,64.3833,-173.3,24.58,67,100,11.88
154,Lorengau,PG,2021-10-22 17:17:15,-2.0226,147.2712,80.08,81,96,9.89
155,Klaksvik,FO,2021-10-22 17:17:15,62.2266,-6.589,38.32,56,73,5.93
156,Leh,IN,2021-10-22 17:17:16,34.1667,77.5833,39.42,39,82,7.16
157,Pitimbu,BR,2021-10-22 17:17:16,-7.4706,-34.8086,88.39,65,99,10.45
158,Khatanga,RU,2021-10-22 17:17:17,71.9667,102.5,-1.46,99,69,5.23
159,Pedernales,DO,2021-10-22 17:17:17,18.0384,-71.744,88.23,59,50,10.13
160,Norman Wells,CA,2021-10-22 17:17:18,65.282,-126.8329,41.04,70,75,16.11
161,Monrovia,LR,2021-10-22 17:16:07,6.3005,-10.7969,80.37,85,95,10.13
162,Clyde River,CA,2021-10-22 17:17:18,70.4692,-68.5914,28.63,74,75,8.05
163,Kysyl-Syr,RU,2021-10-22 17:17:19,63.8986,122.7617,26.01,98,100,2.39
164,Port Alfred,ZA,2021-10-22 17:17:19,-33.5906,26.891,62.58,86,49,4.9
165,Petropavlovsk-Kamchatskiy,RU,2021-10-22 17:17:20,53.0452,158.6483,21.79,80,20,4.47
166,Praia,CV,2021-10-22 17:17:20,14.9215,-23.5087,88.34,51,0,17.27
167,Tommot,RU,2021-10-22 17:17:21,58.9564,126.2925,36.54,88,100,10.11
168,La Ronge,CA,2021-10-22 17:17:21,55.1001,-105.2842,34.05,75,75,9.22
169,Paita,PE,2021-10-22 17:17:22,-5.0892,-81.1144,77.56,72,50,12.33
170,Victor Harbor,AU,2021-10-22 17:17:22,-35.5667,138.6167,57.29,92,17,8.61
171,Dauphin,CA,2021-10-22 17:17:22,51.1494,-100.0502,35.74,89,90,3.44
172,Turbat,PK,2021-10-22 17:17:23,26.0023,63.044,79.74,18,0,6.76
173,Terrace,CA,2021-10-22 17:17:23,54.5163,-128.6035,48.11,93,90,12.66
174,Cap-Chat,CA,2021-10-22 17:17:24,49.1001,-66.6821,59.0,72,100,2.3
175,Ozark,US,2021-10-22 17:17:24,37.0209,-93.206,66.33,55,9,1.01
176,Yulara,AU,2021-10-22 17:17:25,-25.2406,130.9889,75.04,29,0,17.27
177,Catamarca,AR,2021-10-22 17:17:25,-28.4696,-65.7852,92.77,29,2,1.99
178,Manicore,BR,2021-10-22 17:17:26,-5.8092,-61.3003,93.83,44,93,3.31
179,Valandovo,MK,2021-10-22 17:17:26,41.3169,22.5611,61.72,69,17,2.46
180,Bambous Virieux,MU,2021-10-22 17:17:26,-20.3428,57.7575,75.45,78,75,8.05
181,Ploemeur,FR,2021-10-22 17:17:27,47.7333,-3.4333,56.82,67,20,3.44
182,Barrow,US,2021-10-22 17:17:27,71.2906,-156.7887,28.42,86,90,0.0
183,Saint-Philippe,RE,2021-10-22 17:17:28,-21.3585,55.7679,76.59,82,79,7.36
184,Breves,BR,2021-10-22 17:17:28,-1.6822,-50.4803,90.1,53,94,2.24
185,Oktyabrskiy,RU,2021-10-22 17:17:29,54.4815,53.471,50.65,73,100,18.97
186,Tessalit,ML,2021-10-22 17:17:29,20.1986,1.0114,94.77,16,3,9.86
187,Wajima,JP,2021-10-22 17:17:29,37.4,136.9,56.01,58,100,20.11
188,Teya,RU,2021-10-22 17:17:30,60.3778,92.6267,38.26,75,100,13.15
189,Meadville,US,2021-10-22 17:16:11,41.6414,-80.1515,52.86,91,90,6.91
190,Elko,US,2021-10-22 17:17:31,41.0002,-115.5012,55.42,43,64,5.01
191,Bethel,US,2021-10-22 17:17:31,41.3712,-73.414,70.63,62,20,1.01
192,Tarnogskiy Gorodok,RU,2021-10-22 17:17:32,60.4997,43.5761,43.86,75,69,10.65
193,Burns Lake,CA,2021-10-22 17:17:34,54.2331,-125.7533,47.62,85,58,4.07
194,Iqaluit,CA,2021-10-22 17:17:35,63.7506,-68.5145,26.33,86,75,18.01
195,Omsukchan,RU,2021-10-22 17:17:36,62.5333,155.8,-10.44,86,84,1.61
196,Porto Novo,BJ,2021-10-22 17:17:37,6.4965,2.6036,81.32,75,91,6.76
197,Gamba,GA,2021-10-22 17:17:38,-2.65,10.0,77.27,85,93,8.39
198,Bogorodskoye,RU,2021-10-22 17:17:39,56.55,37.8833,43.07,66,43,16.93
199,Karpathos,GR,2021-10-22 17:17:41,35.507,27.2132,67.96,60,20,3.44
200,Selikhino,RU,2021-10-22 17:17:41,50.3672,137.4996,28.85,87,30,7.9
