City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Mount Pleasant,US,32.7941,-79.8626,73.0,92,20,3.0,few clouds
79,Inhambane,MZ,-23.865,35.3833,73.51,87,100,6.49,light rain
80,Riyadh,SA,24.6877,46.7219,68.14,27,0,4.34,clear sky
81,Kidal,ML,18.4411,1.4078,89.58,22,85,9.17,overcast clouds
82,Ilulissat,GL,69.2167,-51.1,-0.4,74,71,7.72,broken clouds
83,Les Cayes,HT,18.2,-73.75,78.13,82,67,4.0,broken clouds
84,Maceio,BR,-9.6658,-35.7353,76.44,100,0,3.44,clear sky
85,Barmer,IN,25.75,71.3833,77.41,47,0,1.92,clear sky
86,Aska,IN,19.6061,84.6725,76.44,71,47,3.44,scattered clouds
87,South Burlington,US,44.467,-73.171,45.34,77,20,0.0,few clouds
88,Manturovo,RU,58.3353,44.7619,26.8,90,36,8.28,scattered clouds
89,Aksarka,RU,66.5606,67.7975,19.31,88,39,7.56,scattered clouds
90,Necochea,AR,-38.5473,-58.7368,61.03,46,32,19.6,scattered clouds
91,Namibe,AO,-15.1961,12.1522,61.97,87,35,6.64,scattered clouds
92,Bonthe,SL,7.5264,-12.505,75.79,92,100,4.41,light rain
93,Mar Del Plata,AR,-38.0023,-57.5575,63.09,62,0,8.01,light rain
94,Vardo,NO,70.3705,31.1107,34.79,61,73,9.98,light rain
95,Awjilah,LY,29.1081,21.2869,71.17,37,30,13.47,scattered clouds
96,Marawi,PH,7.9986,124.2928,76.64,56,16,1.72,few clouds
97,Husavik,IS,66.0449,-17.3389,39.11,98,100,15.86,overcast clouds
98,Kalmunai,LK,7.4167,81.8167,82.11,73,82,8.88,broken clouds
99,Saldanha,ZA,-33.0117,17.9442,51.85,73,0,13.56,clear sky
100,Liverpool,GB,53.4106,-2.9779,53.69,87,75,5.01,broken clouds
101,Bakel,SN,14.905,-12.4568,85.57,51,69,7.0,broken clouds
102,Cumana,VE,10.4635,-64.1775,78.82,85,98,10.96,overcast clouds
103,Abeche,TD,13.8292,20.8324,80.35,25,24,15.46,few clouds
104,Berkak,NO,62.825,10.0118,35.42,84,92,9.22,overcast clouds
105,Keti Bandar,PK,24.1447,67.4497,79.38,50,0,4.47,clear sky
106,Vila Velha,BR,-20.3297,-40.2925,78.75,83,75,5.75,broken clouds
107,Ferrol,ES,43.4832,-8.2369,57.72,87,98,6.82,overcast clouds
108,Kisangani,CD,0.5167,25.2,70.12,99,100,2.77,light rain
109,Islamkot,PK,24.6997,70.177,77.7,45,0,4.38,clear sky
110,Kabinda,CD,-6.1333,24.4833,64.53,96,100,3.6,overcast clouds
111,Peniche,PT,39.3558,-9.3811,61.61,93,76,7.74,broken clouds
112,Makinsk,KZ,52.6292,70.4169,32.25,54,100,12.26,overcast clouds
113,Barsana,IN,27.65,77.3833,74.44,64,0,3.51,clear sky
114,Qaanaaq,GL,77.484,-69.3632,-4.74,58,0,11.03,clear sky
115,Bodden Town,KY,19.2833,-81.25,84.2,81,20,5.01,few clouds
116,Bengkulu,ID,-3.8004,102.2655,75.6,92,100,0.47,moderate rain
117,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,81,1,3.96,clear sky
118,Eidsvag,NO,62.7767,8.0668,48.85,87,93,10.09,overcast clouds
119,Bubaque,GW,11.2833,-15.8333,82.15,77,95,8.88,overcast clouds
120,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.82,91,100,20.27,overcast clouds
121,Birkeland,NO,58.3309,8.2323,51.35,87,90,16.11,overcast clouds
122,Grand-Lahou,CI,5.1367,-5.0242,76.98,89,100,8.03,moderate rain
123,Barranca,PE,-10.75,-77.7667,61.77,84,30,8.63,scattered clouds
124,Foki,RU,56.693,54.3499,37.22,86,100,5.37,overcast clouds
125,Formosa Do Rio Preto,BR,-11.0483,-45.1931,72.03,92,99,2.77,overcast clouds
126,Yambio,SS,4.5721,28.3955,68.47,93,78,1.83,broken clouds
127,Raudeberg,NO,61.9875,5.1352,51.19,94,100,11.01,overcast clouds
128,Port Elizabeth,ZA,-33.918,25.5701,50.29,93,0,3.44,clear sky
129,Arlit,NE,18.7369,7.3853,78.93,13,0,1.03,clear sky
130,Ilhabela,BR,-23.7781,-45.3581,67.57,88,100,3.53,overcast clouds
131,Berlevag,NO,70.8578,29.0864,30.94,73,38,10.98,scattered clouds
132,Atar,MR,20.5169,-13.0499,82.44,21,63,5.66,broken clouds
133,Aleppo,SY,36.25,37.5,57.42,85,4,7.7,clear sky
134,Gravdal,NO,68.1214,13.5031,40.23,93,100,13.82,overcast clouds
135,Totskoye,RU,52.5248,52.7623,40.01,72,100,4.47,overcast clouds
136,Touros,BR,-5.1989,-35.4608,79.7,73,1,13.56,clear sky
137,Hearst,CA,49.6835,-83.6665,32.25,92,100,4.43,overcast clouds
138,Wageningen,NL,51.9667,5.6667,48.85,92,90,6.91,overcast clouds
139,Nkowakowa,ZA,-23.8878,30.2871,53.65,75,86,3.69,overcast clouds
140,Sainte-Marie,RE,-20.8968,55.5496,73.53,90,75,16.11,broken clouds
141,Banda Aceh,ID,5.5577,95.3222,83.26,71,99,4.5,overcast clouds
142,Soligalich,RU,59.0778,42.2864,25.11,96,29,5.55,scattered clouds
143,Saint-Pierre,RE,-21.3393,55.4781,73.04,80,0,5.75,clear sky
144,Atbasar,KZ,51.8,68.3333,42.46,51,99,11.14,overcast clouds
145,Georgetown,MY,5.4112,100.3354,84.13,86,20,1.01,few clouds
146,Richards Bay,ZA,-28.783,32.0377,63.3,69,87,2.84,overcast clouds
147,Aleksandrovskaya,RU,43.4833,43.65,42.58,87,75,13.42,broken clouds
