City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,Lusambo,CD,69.26,light rain,-4.9667,23.45,
435,Chimore,BO,69.28,light rain,-16.9833,-65.1333,Bichito
444,Zaltan,LY,69.53,clear sky,32.947,11.8665,زلطن الشرقية
447,Carlisle,US,60.64,light rain,40.2015,-77.1889,Fairfield Inn & Suites by Marriott Carlisle
464,Geraldton,AU,63.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
468,Camacupa,AO,63.23,light rain,-12.0167,17.4833,seviremde seni
481,Dehloran,IR,69.66,clear sky,32.6941,47.2679,کافه گیم استورم
482,San Jose De Ocoa,DO,66.9,clear sky,18.55,-70.5,Hotel El Barcon
504,Jardim,BR,64.53,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
507,Basoko,CD,69.94,light rain,1.2391,23.616,Jackyna Hotel
517,Vidalia,US,69.28,clear sky,32.2177,-82.4135,Quality Inn & Suites
529,Ballina,AU,69.98,moderate rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
531,Viedma,AR,66.43,broken clouds,-40.8135,-62.9967,Hotel Cristal
532,Carmo,BR,66.15,overcast clouds,-21.9336,-42.6086,Pousada do Carmo
539,Puerto Del Rosario,ES,69.55,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
553,Agadir,MA,61.25,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
554,Diego De Almagro,CL,61.57,clear sky,-26.3667,-70.05,hotel luna del desierto
555,Pailon,BO,68.9,overcast clouds,-17.65,-62.75,Alojamiento pailon
557,Chlorakas,CY,61.83,clear sky,34.8042,32.4083,Elysium Hotel
559,Kindu,CD,68.14,overcast clouds,-2.95,25.95,Résidence Okanda
566,Sant Pere De Ribes,ES,62.35,clear sky,41.2667,1.7667,Dolce Sitges Barcelona
567,Yacuiba,BO,63.72,clear sky,-22.038,-63.6797,Hotel Monumental
589,Chiredzi,ZW,63.72,light rain,-21.05,31.6667,Clevers Hotel Chiredzi
613,Pontal Do Parana,BR,67.73,overcast clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
617,Wum,CM,64.06,scattered clouds,6.3833,10.0667,Wum Council Hall
623,Kathmandu,NP,64.62,mist,27.7167,85.3167,Hotel Shanker Kathmandu
625,Sechura,PE,65.86,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
637,Salta,AR,68.29,clear sky,-24.7859,-65.4117,Hotel Alejandro I
643,Betafo,MG,65.62,scattered clouds,-19.8333,46.85,CHEZ MALALA
